Recording timestamp [ms]	Participant name	AOI hit [Desktop 2022.06.12 - 22.07.32.02 - Truck]
91977	Participant2	1
91993	Participant2	1
92010	Participant2	1
92027	Participant2	1
92043	Participant2	1
92060	Participant2	1
92076	Participant2	1
92093	Participant2	1
92110	Participant2	1
92126	Participant2	1
92143	Participant2	1
92160	Participant2	1
92176	Participant2	1
92193	Participant2	1
92210	Participant2	1
92226	Participant2	1
92243	Participant2	1
92260	Participant2	1
92276	Participant2	1
92293	Participant2	1
92310	Participant2	1
92326	Participant2	1
92343	Participant2	1
92360	Participant2	1
92376	Participant2	1
92393	Participant2	1
92410	Participant2	1
101037	Participant2	1
101053	Participant2	1
101070	Participant2	1
101087	Participant2	1
101103	Participant2	1
101120	Participant2	1
101137	Participant2	1
101153	Participant2	1
101170	Participant2	1
101187	Participant2	1
101203	Participant2	1
101220	Participant2	1
101237	Participant2	1
101253	Participant2	1
101270	Participant2	1
133547	Participant2	1
133564	Participant2	1
133580	Participant2	1
133597	Participant2	1
133614	Participant2	1
133630	Participant2	1
133647	Participant2	1
133664	Participant2	1
133680	Participant2	1
144056	Participant2	1
144073	Participant2	1
144090	Participant2	1
144106	Participant2	1
144123	Participant2	1
144140	Participant2	1
144156	Participant2	1
144173	Participant2	1
144190	Participant2	1
144206	Participant2	1
144223	Participant2	1
144240	Participant2	1
144256	Participant2	1
144273	Participant2	1
144290	Participant2	1
144306	Participant2	1
144323	Participant2	1
144373	Participant2	1
144389	Participant2	1
144406	Participant2	1
144423	Participant2	1
144439	Participant2	1
144456	Participant2	1
144473	Participant2	1
144489	Participant2	1
144506	Participant2	1
144523	Participant2	1
144539	Participant2	1
144556	Participant2	1
144573	Participant2	1
144589	Participant2	1
144606	Participant2	1
144623	Participant2	1
144639	Participant2	1
144706	Participant2	1
144723	Participant2	1
144739	Participant2	1
144756	Participant2	1
144773	Participant2	1
144789	Participant2	1
144806	Participant2	1
144823	Participant2	1
144839	Participant2	1
144856	Participant2	1
144872	Participant2	1
144922	Participant2	1
144939	Participant2	1
144956	Participant2	1
144972	Participant2	1
144989	Participant2	1
145006	Participant2	1
145022	Participant2	1
145039	Participant2	1
145056	Participant2	1
145072	Participant2	1
145089	Participant2	1
145106	Participant2	1
145122	Participant2	1
145139	Participant2	1
145156	Participant2	1
145172	Participant2	1
145189	Participant2	1
145206	Participant2	1
145222	Participant2	1
145239	Participant2	1
145256	Participant2	1
145272	Participant2	1
145306	Participant2	1
145322	Participant2	1
145339	Participant2	1
145355	Participant2	1
145372	Participant2	1
145389	Participant2	1
145405	Participant2	1
145422	Participant2	1
145439	Participant2	1
145455	Participant2	1
145472	Participant2	1
145489	Participant2	1
145505	Participant2	1
145555	Participant2	1
145572	Participant2	1
145589	Participant2	1
145605	Participant2	1
145622	Participant2	1
145639	Participant2	1
145655	Participant2	1
145672	Participant2	1
145689	Participant2	1
145705	Participant2	1
145722	Participant2	1
145739	Participant2	1
145755	Participant2	1
145772	Participant2	1
145788	Participant2	1
145805	Participant2	1
145822	Participant2	1
145838	Participant2	1
145855	Participant2	1
145872	Participant2	1
145888	Participant2	1
145905	Participant2	1
145922	Participant2	1
145938	Participant2	1
145955	Participant2	1
146005	Participant2	1
146022	Participant2	1
146038	Participant2	1
146055	Participant2	1
146072	Participant2	1
146088	Participant2	1
146105	Participant2	1
146122	Participant2	1
146138	Participant2	1
146155	Participant2	1
146471	Participant2	1
146488	Participant2	1
146505	Participant2	1
146521	Participant2	1
146538	Participant2	1
146555	Participant2	1
146571	Participant2	1
146588	Participant2	1
146605	Participant2	1
146621	Participant2	1
146638	Participant2	1
146655	Participant2	1
146671	Participant2	1
146688	Participant2	1
146705	Participant2	1
146721	Participant2	1
146738	Participant2	1
146754	Participant2	1
146771	Participant2	1
146788	Participant2	1
146804	Participant2	1
146821	Participant2	1
146838	Participant2	1
146854	Participant2	1
146871	Participant2	1
146888	Participant2	1
146904	Participant2	1
146921	Participant2	1
146938	Participant2	1
146954	Participant2	1
146971	Participant2	1
146988	Participant2	1
147038	Participant2	1
147054	Participant2	1
147071	Participant2	1
147088	Participant2	1
147104	Participant2	1
147121	Participant2	1
147138	Participant2	1
147154	Participant2	1
147171	Participant2	1
147188	Participant2	1
147204	Participant2	1
147221	Participant2	1
147237	Participant2	1
147254	Participant2	1
147271	Participant2	1
147287	Participant2	1
147304	Participant2	1
147321	Participant2	1
147337	Participant2	1
147354	Participant2	1
147371	Participant2	1
147387	Participant2	1
147404	Participant2	1
147421	Participant2	1
147437	Participant2	1
147454	Participant2	1
147471	Participant2	1
147487	Participant2	1
147820	Participant2	1
147837	Participant2	1
147854	Participant2	1
147870	Participant2	1
147887	Participant2	1
147904	Participant2	1
147920	Participant2	1
147937	Participant2	1
147954	Participant2	1
147970	Participant2	1
147987	Participant2	1
148004	Participant2	1
148020	Participant2	1
148037	Participant2	1
148054	Participant2	1
148070	Participant2	1
148087	Participant2	1
148104	Participant2	1
148120	Participant2	1
148137	Participant2	1
148153	Participant2	1
148170	Participant2	1
148187	Participant2	1
148203	Participant2	1
148220	Participant2	1
148237	Participant2	1
148253	Participant2	1
148270	Participant2	1
148287	Participant2	1
148303	Participant2	1
148320	Participant2	1
148337	Participant2	1
148353	Participant2	1
148370	Participant2	1
148387	Participant2	1
148403	Participant2	1
148420	Participant2	1
148437	Participant2	1
148453	Participant2	1
148470	Participant2	1
148487	Participant2	1
148503	Participant2	1
148520	Participant2	1
148537	Participant2	1
148553	Participant2	1
148570	Participant2	1
148587	Participant2	1
148603	Participant2	1
148620	Participant2	1
148636	Participant2	1
148653	Participant2	1
148670	Participant2	1
148686	Participant2	1
148703	Participant2	1
148720	Participant2	1
148736	Participant2	1
148753	Participant2	1
148770	Participant2	1
148786	Participant2	1
148803	Participant2	1
148820	Participant2	1
148836	Participant2	1
148970	Participant2	1
148986	Participant2	1
149003	Participant2	1
149020	Participant2	1
149036	Participant2	1
149053	Participant2	1
149070	Participant2	1
149086	Participant2	1
149103	Participant2	1
149119	Participant2	1
149136	Participant2	1
149153	Participant2	1
149169	Participant2	1
149186	Participant2	1
89540	Participant3	1
89556	Participant3	1
89573	Participant3	1
89590	Participant3	1
101648	Participant3	1
101665	Participant3	1
101681	Participant3	1
101698	Participant3	1
101715	Participant3	1
101731	Participant3	1
101748	Participant3	1
101764	Participant3	1
101781	Participant3	1
101798	Participant3	1
101814	Participant3	1
101831	Participant3	1
101864	Participant3	1
101881	Participant3	1
101898	Participant3	1
101914	Participant3	1
101931	Participant3	1
101948	Participant3	1
101964	Participant3	1
101981	Participant3	1
101998	Participant3	1
102014	Participant3	1
102031	Participant3	1
102048	Participant3	1
102064	Participant3	1
102081	Participant3	1
102098	Participant3	1
102114	Participant3	1
102131	Participant3	1
102148	Participant3	1
102164	Participant3	1
102181	Participant3	1
102198	Participant3	1
102264	Participant3	1
102281	Participant3	1
102297	Participant3	1
102314	Participant3	1
102331	Participant3	1
102347	Participant3	1
102364	Participant3	1
102381	Participant3	1
102397	Participant3	1
102414	Participant3	1
102431	Participant3	1
102447	Participant3	1
102464	Participant3	1
102481	Participant3	1
102547	Participant3	1
102564	Participant3	1
102581	Participant3	1
102597	Participant3	1
102614	Participant3	1
102631	Participant3	1
102647	Participant3	1
102664	Participant3	1
102680	Participant3	1
102697	Participant3	1
102714	Participant3	1
102730	Participant3	1
102747	Participant3	1
102764	Participant3	1
102780	Participant3	1
102797	Participant3	1
102814	Participant3	1
102897	Participant3	1
102914	Participant3	1
102930	Participant3	1
102947	Participant3	1
102964	Participant3	1
102980	Participant3	1
102997	Participant3	1
103014	Participant3	1
103030	Participant3	1
103047	Participant3	1
103064	Participant3	1
103080	Participant3	1
103097	Participant3	1
103114	Participant3	1
103130	Participant3	1
103147	Participant3	1
103163	Participant3	1
103180	Participant3	1
103197	Participant3	1
103230	Participant3	1
103247	Participant3	1
103263	Participant3	1
103280	Participant3	1
103297	Participant3	1
103313	Participant3	1
103330	Participant3	1
